epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
67,4194.78,0.76306,1.27675,0.48585,1.04396,0,0.83402,0.84476,0.85014,0.67116,0.80234,0.80551,0.79319,0.41757,1.05479,1.63824,0.64997,1.22239,0,0.000478203,0.000478203,0.000478203
68,4249.7,0.78048,1.30172,0.48754,1.0469,0,0.84012,0.85464,0.85419,0.67696,0.81756,0.80398,0.79958,0.42007,1.04088,1.58358,0.64658,1.21207,0,0.00047004,0.00047004,0.00047004
69,4308.32,0.78965,1.27947,0.48634,1.05598,0,0.83158,0.83542,0.8457,0.67226,0.80561,0.80176,0.79704,0.41747,1.06118,1.61843,0.67023,1.23121,0,0.000461849,0.000461849,0.000461849
70,4364.43,0.7553,1.24091,0.47708,1.03739,0,0.82712,0.83815,0.84784,0.6713,0.80899,0.80289,0.79817,0.42743,1.04814,1.64937,0.66325,1.21828,0,0.000453632,0.000453632,0.000453632
71,4420.5,0.72859,1.2219,0.45478,1.01745,0,0.83803,0.852,0.85226,0.67862,0.80604,0.81176,0.79538,0.42355,1.06508,1.64486,0.64266,1.23704,0,0.000445393,0.000445393,0.000445393
72,4477.22,0.71535,1.23965,0.4634,1.02854,0,0.83772,0.83556,0.85139,0.67295,0.80234,0.80243,0.80424,0.41657,1.06302,1.67044,0.64474,1.23416,0,0.000437136,0.000437136,0.000437136
73,4533.21,0.82757,1.33016,0.4965,1.06482,0,0.8352,0.85051,0.84687,0.67304,0.79263,0.82152,0.79744,0.41326,1.05843,1.59809,0.65057,1.22385,0,0.000428865,0.000428865,0.000428865
74,4590.01,0.75376,1.24809,0.45595,1.04045,0,0.84128,0.83656,0.84312,0.66485,0.80455,0.79099,0.78164,0.40014,1.09623,1.76102,0.66366,1.23985,0,0.000420583,0.000420583,0.000420583
75,4652.72,0.75607,1.21603,0.45559,1.03711,0,0.8445,0.84837,0.854,0.67994,0.81985,0.80434,0.79731,0.42835,1.06156,1.65885,0.64277,1.23066,0,0.000412293,0.000412293,0.000412293
76,4710.92,0.77384,1.28056,0.46649,1.05517,0,0.84743,0.84502,0.84516,0.67351,0.82379,0.82039,0.80579,0.42663,1.06294,1.58824,0.65082,1.23677,0,0.000404,0.000404,0.000404
77,4768.62,0.79645,1.3041,0.48041,1.05721,0,0.84811,0.84735,0.84295,0.67141,0.81922,0.81525,0.79977,0.41964,1.06352,1.66292,0.65453,1.23166,0,0.000395707,0.000395707,0.000395707
78,4826.35,0.71474,1.20946,0.43901,1.01736,0,0.84405,0.85881,0.85605,0.68257,0.82279,0.82559,0.81863,0.43548,1.05181,1.61668,0.63574,1.21431,0,0.000387417,0.000387417,0.000387417
79,4883.09,0.73941,1.20462,0.44881,1.04041,0,0.84246,0.85288,0.85295,0.68041,0.84005,0.79977,0.80517,0.42658,1.06098,1.63064,0.63554,1.22948,0,0.000379135,0.000379135,0.000379135
80,4938.11,0.73345,1.19617,0.43382,1.02802,0,0.84659,0.85651,0.85667,0.67972,0.81498,0.81912,0.79647,0.41413,1.06,1.60326,0.63147,1.22976,0,0.000370864,0.000370864,0.000370864
81,4991,0.71442,1.18679,0.43874,1.013,0,0.84454,0.85325,0.8529,0.68017,0.8239,0.81992,0.80781,0.4215,1.05861,1.64537,0.63232,1.22577,0,0.000362607,0.000362607,0.000362607
